"_system_object_id","_id","T_Chronologie","T_ChronologieDatMin","T_ChronologieDatMax","T_ChronologieTimespanFrom","T_ChronologieTimespanTo"
"111642","16998","Vorprojekt 1984","01.01.1984","31.12.1984","1984","1984"
"111643","16999","Anfrage 1982","01.01.1982","31.12.1982","1982","1982"
"111646","17002","Vorprojekt 1967","01.01.1967","31.12.1967","1967","1967"
"111648","17004","Acquisition 1972","01.01.1972","31.12.1972","1972","1972"
"111649","17005","Vorprojekt 1964","01.01.1964","31.12.1964","1964","1964"
"111650","17006","Vorprojekt 2000","01.01.2000","31.12.2000","2000","2000"
"111651","17007","Anfrage 1968","01.01.1968","31.12.1968","1968","1968"
"111654","17010","Kontakt 1989, Projekt Nachisolierung 1996","01.01.1989","31.12.1996","1989","1996"
"111655","17011","Vorprojekt 1963","01.01.1963","31.12.1963","1963","1963"
"111656","17012","Vorprojekt 1956","01.01.1956","31.12.1956","1956","1956"
"111661","17017","Vorprojekt 1968","01.01.1968","31.12.1968","1968","1968"
"111662","17018","Vorprojekt 1962","01.01.1962","31.12.1962","1962","1962"
"111664","17020","Vorprojekt 1971","01.01.1971","31.12.1971","1971","1971"
"111665","17021","Vorprojekt 1981","01.01.1981","31.12.1981","1981","1981"
"111666","17022","Vorprojekt 1962","01.01.1962","31.12.1962","1962","1962"
"111667","17023","Projekt 1958","01.01.1958","31.12.1958","1958","1958"
"111668","17024","Vorprojekt 2001/2002","01.01.2001","31.12.2002","2001","2002"
"111671","17027","Vorprojekt 1996, Offerte Bösiger 1997","01.01.1996","31.12.1997","1996","1997"
"111672","17028","Projekt 1970","01.01.1970","31.12.1970","1970","1970"
"111673","17029","Vorprojekt 1969","01.01.1969","31.12.1969","1969","1969"
"111674","17030","Vorprojekt 1964","01.01.1964","31.12.1964","1964","1964"
"111675","17031","Vorprojekt 1977","01.01.1977","31.12.1977","1977","1977"
"111677","17033","Anfrage 1964","01.01.1964","31.12.1964","1964","1964"
"111679","17035","Vorprojekt 1964","01.01.1964","31.12.1964","1964","1964"
"111682","17038","Vorprojekt 1966/1967","01.01.1966","31.12.1967","1966","1967"
"111683","17039","Projekt 1999","01.01.1999","31.12.1999","1999","1999"
"111685","17041","Vorprojekt 1964/1965","01.01.1964","31.12.1965","1964","1965"
"111687","17043","Datiert 1960/1967","01.01.1960","31.12.1967","1960","1967"
"111688","17044","Vorprojekt 11.1966","01.11.1966","30.11.1966","1966-11-01","1966-11-30"
"111690","17046","Vorprojekt 1985/1987","01.01.1985","31.12.1987","1985","1987"
"111742","17098","Vorprojekt 1984","01.01.1984","31.12.1984","1984","1984"
"111743","17099","Vorprojekt 1966/1967","01.01.1966","31.12.1967","1966","1967"
"111745","17101","Vorprojekt 1964","01.01.1964","31.12.1964","1964","1964"
"111747","17103","Vorprojekt 1990/1992","01.01.1990","31.12.1992","1990","1992"
"111748","17104","Vorprojekt 1977","01.01.1977","31.12.1977","1977","1977"
"111749","17105","Vorprojekt 1967","01.01.1967","31.12.1967","1967","1967"
"111750","17106","Anfrage 1969","01.01.1969","31.12.1969","1969","1969"
"111752","17108","Anfrage 1967","01.01.1967","31.12.1967","1967","1967"
"111753","17109","Vorprojekt 1961","01.01.1961","31.12.1961","1961","1961"
"111755","17111","Anfrage 1969","01.01.1969","31.12.1969","1969","1969"
"111756","17112","Akquisition 1972","01.01.1972","31.12.1972","1972","1972"
"111757","17113","Projekt(e) 1977/1979","01.01.1977","31.12.1979","1977","1979"
"111759","17115","Gutachten 1976","01.01.1976","31.12.1976","1976","1976"
"111761","17117","Vorprojekt 1984","01.01.1984","31.12.1984","1984","1984"
"111763","17119","Anfrage 1969","01.01.1969","31.12.1969","1969","1969"
"111764","17120","Anfrage 1990","01.01.1990","31.12.1990","1990","1990"
"111765","17121","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
"111766","17122","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
"111769","17125","Vorprojekt 1991","01.01.1991","31.12.1991","1991","1991"
"111770","17126","Anfrage 1980","01.01.1980","31.12.1980","1980","1980"
"111772","17128","Anfrage 1987/1982","01.01.1987","31.12.1982","1987","1982"
"111773","17129","Anfrage 1986","01.01.1986","31.12.1986","1986","1986"
"111774","17130","Vorprojekt 1996","01.01.1996","31.12.1996","1996","1996"
"111775","17131","Anfrage 1966","01.01.1966","31.12.1966","1966","1966"
"111776","17132","Vorprojekt 1962","01.01.1962","31.12.1962","1962","1962"
"111777","17133","Vorprojekt 1981/1982","01.01.1981","31.12.1982","1981","1982"
"111779","17135","Vorprojekt 1990","01.01.1990","31.12.1990","1990","1990"
"111780","17136","Vorprojekt 1997","01.01.1997","31.12.1997","1997","1997"
"111781","17137","datiert 1980","01.01.1980","31.12.1980","1980","1980"
