"_system_object_id";"_id";"T_Chronologie";"T_ChronologieDatMin";"T_ChronologieDatMax";"T_ChronologieTimespanFrom";"T_ChronologieTimespanTo";"easydb|row_idx";"easydb|operation";"easydb|status";"easydb|timestamp";"easydb|status_text";"easydb|warning_text";"easydb|id";"easydb|version";"easydb|id_parent";"easydb|depth";"easydb|path";"easydb|act|act__generic_actors";"easydb|act_role|act_role__all_fields";"easydb|generic_lang|generic_lang__all_fields";"easydb|generic_nametype|generic_nametype__all_fields";"easydb|bi|bi__all_fields";"easydb|ac|ac__all_fields";"easydb|pl|pl__all_fields";"easydb|generic_uncertainty|generic_uncert__all_fields";"easydb|generic_identifier_type|generic_identifier_type__all_fields";"easydb|hierarchy-oeu|oeu__all_fields_isler_v3";"easydb|generic_dimensions|generic_dimensions__all_fields";"easydb|generic_materials|art_materials__all_fields";"easydb|typology_shell|oeu_shell__all_fields";"easydb|oeu_nc_type|oeu_type__all_fields";"easydb|do|do__generic_import"
"111642";"16998";"Vorprojekt 1984";"01.01.1984";"31.12.1984";"1984";"1984";"0";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"16998";"14";"22594";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111643";"16999";"Anfrage 1982";"01.01.1982";"31.12.1982";"1982";"1982";"1";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"16999";"10";"16949";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111646";"17002";"Vorprojekt 1967";"01.01.1967";"31.12.1967";"1967";"1967";"2";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17002";"9";"16952";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111648";"17004";"Acquisition 1972";"01.01.1972";"31.12.1972";"1972";"1972";"3";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17004";"11";"16954";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111649";"17005";"Vorprojekt 1964";"01.01.1964";"31.12.1964";"1964";"1964";"4";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17005";"12";"16955";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111650";"17006";"Vorprojekt 2000";"01.01.2000";"31.12.2000";"2000";"2000";"5";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17006";"11";"16956";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111651";"17007";"Anfrage 1968";"01.01.1968";"31.12.1968";"1968";"1968";"6";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17007";"10";"16957";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111654";"17010";"Kontakt 1989, Projekt Nachisolierung 1996";"01.01.1989";"31.12.1996";"1989";"1996";"7";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17010";"14";"17974";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111655";"17011";"Vorprojekt 1963";"01.01.1963";"31.12.1963";"1963";"1963";"8";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17011";"11";"16961";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111656";"17012";"Vorprojekt 1956";"01.01.1956";"31.12.1956";"1956";"1956";"9";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17012";"14";"16962";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111661";"17017";"Vorprojekt 1968";"01.01.1968";"31.12.1968";"1968";"1968";"10";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17017";"14";"20291";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111662";"17018";"Vorprojekt 1962";"01.01.1962";"31.12.1962";"1962";"1962";"11";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17018";"11";"16968";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111664";"17020";"Vorprojekt 1971";"01.01.1971";"31.12.1971";"1971";"1971";"12";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17020";"12";"16970";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111665";"17021";"Vorprojekt 1981";"01.01.1981";"31.12.1981";"1981";"1981";"13";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17021";"12";"16971";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111666";"17022";"Vorprojekt 1962";"01.01.1962";"31.12.1962";"1962";"1962";"14";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17022";"14";"16972";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111667";"17023";"Projekt 1958";"01.01.1958";"31.12.1958";"1958";"1958";"15";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17023";"16";"21288";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111668";"17024";"Vorprojekt 2001/2002";"01.01.2001";"31.12.2002";"2001";"2002";"16";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17024";"11";"16974";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111671";"17027";"Vorprojekt 1996, Offerte Bösiger 1997";"01.01.1996";"31.12.1997";"1996";"1997";"17";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17027";"11";"16977";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111672";"17028";"Projekt 1970";"01.01.1970";"31.12.1970";"1970";"1970";"18";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17028";"13";"20696";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111673";"17029";"Vorprojekt 1969";"01.01.1969";"31.12.1969";"1969";"1969";"19";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17029";"11";"16979";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111674";"17030";"Vorprojekt 1964";"01.01.1964";"31.12.1964";"1964";"1964";"20";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17030";"11";"16980";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111675";"17031";"Vorprojekt 1977";"01.01.1977";"31.12.1977";"1977";"1977";"21";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17031";"10";"16981";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111677";"17033";"Anfrage 1964";"01.01.1964";"31.12.1964";"1964";"1964";"22";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17033";"10";"16983";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111679";"17035";"Vorprojekt 1964";"01.01.1964";"31.12.1964";"1964";"1964";"23";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17035";"10";"16985";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111682";"17038";"Vorprojekt 1966/1967";"01.01.1966";"31.12.1967";"1966";"1967";"24";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17038";"10";"16988";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111683";"17039";"Projekt 1999";"01.01.1999";"31.12.1999";"1999";"1999";"25";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17039";"15";"20997";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111685";"17041";"Vorprojekt 1964/1965";"01.01.1964";"31.12.1965";"1964";"1965";"26";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17041";"14";"19955";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111687";"17043";"Datiert 1960/1967";"01.01.1960";"31.12.1967";"1960";"1967";"27";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17043";"11";"16993";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111688";"17044";"Vorprojekt 11.1966";"01.11.1966";"30.11.1966";"1966-11-01";"1966-11-30";"28";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17044";"14";"16994";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111690";"17046";"Vorprojekt 1985/1987";"01.01.1985";"31.12.1987";"1985";"1987";"29";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17046";"11";"16996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111742";"17098";"Vorprojekt 1984";"01.01.1984";"31.12.1984";"1984";"1984";"30";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17098";"11";"17048";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111743";"17099";"Vorprojekt 1966/1967";"01.01.1966";"31.12.1967";"1966";"1967";"31";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17099";"13";"17049";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111745";"17101";"Vorprojekt 1964";"01.01.1964";"31.12.1964";"1964";"1964";"32";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17101";"13";"17051";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111747";"17103";"Vorprojekt 1990/1992";"01.01.1990";"31.12.1992";"1990";"1992";"33";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17103";"13";"17053";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111748";"17104";"Vorprojekt 1977";"01.01.1977";"31.12.1977";"1977";"1977";"34";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17104";"13";"17054";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111749";"17105";"Vorprojekt 1967";"01.01.1967";"31.12.1967";"1967";"1967";"35";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17105";"10";"17055";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111750";"17106";"Anfrage 1969";"01.01.1969";"31.12.1969";"1969";"1969";"36";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17106";"9";"17056";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111752";"17108";"Anfrage 1967";"01.01.1967";"31.12.1967";"1967";"1967";"37";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17108";"10";"17058";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111753";"17109";"Vorprojekt 1961";"01.01.1961";"31.12.1961";"1961";"1961";"38";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17109";"11";"17059";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111755";"17111";"Anfrage 1969";"01.01.1969";"31.12.1969";"1969";"1969";"39";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17111";"10";"17061";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111756";"17112";"Akquisition 1972";"01.01.1972";"31.12.1972";"1972";"1972";"40";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17112";"11";"17062";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111757";"17113";"Projekt(e) 1977/1979";"01.01.1977";"31.12.1979";"1977";"1979";"41";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17113";"10";"17063";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111759";"17115";"Gutachten 1976";"01.01.1976";"31.12.1976";"1976";"1976";"42";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17115";"10";"17065";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111761";"17117";"Vorprojekt 1984";"01.01.1984";"31.12.1984";"1984";"1984";"43";"[""update""]";"done";"2023-03-28 14:42:20";"";"";"17117";"9";"17067";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
