_exported_at;_system_object_id;_id;_last_modified;oeu_nc_name#de-DE;oeu_nc_name#en-US;oeu_isler_name#de-DE;oeu_isler_name#en-US
"2023-05-25T10:42:53+02:00";"111642";"16998";"2023-03-28T12:40:53Z";"Bauunternehmung W. Bösiger AG : Erweiterung";"";"Bauunternehmung W. Bösiger AG : Erweiterung";"Construction Company W. Bösiger AG : Extension"
"2023-05-25T10:42:53+02:00";"111643";"16999";"2023-04-27T15:56:04Z";"Atom Unterstand Propisa";"Atom Shelter Propisa";"Atom Unterstand Propisa";"Atom Shelter Propisa"
"2023-05-25T10:42:53+02:00";"111644";"17000";"2023-05-14T09:10:20Z";"Fulterer";"";"Fulterer";"Fulterer"
"2023-05-25T10:42:53+02:00";"111645";"17001";"2023-04-03T12:49:30Z";"Besitzung Ried : Grossviehstall";"";"Besitzung Ried : Grossviehstall";"Ried Property : Livestock Stables"
"2023-05-25T10:42:53+02:00";"111646";"17002";"2023-03-28T12:40:58Z";"Kilcher Wohnhaus";"";"Kilcher Wohnhaus";"Kilcher House"
"2023-05-25T10:42:53+02:00";"111647";"17003";"2023-03-22T13:34:54Z";"Einfamilienhaus Bittel";"";"Einfamilienhaus Bittel";"Single-Family House Bittel"
"2023-05-25T10:42:53+02:00";"111648";"17004";"2023-03-28T12:41:00Z";"Intrapolis : Trichterhaus";"";"Intrapolis : Trichterhaus";"Intrapolis : Funnel House"
"2023-05-25T10:42:53+02:00";"111649";"17005";"2023-03-28T12:41:02Z";"Exbier GmbH : Fabrikationshallen";"";"Exbier GmbH : Fabrikationshallen";"Exbier GmbH : Production Halls"
"2023-05-25T10:42:53+02:00";"111650";"17006";"2023-03-28T12:41:03Z";"Kirche auf den Antillen";"";"Kirche auf den Antillen";"Church in the West Indies"
"2023-05-25T10:42:53+02:00";"111651";"17007";"2023-03-28T12:41:04Z";"Litco SA";"";"Litco SA";"Litco SA"
"2023-05-25T10:42:53+02:00";"111652";"17008";"2023-05-02T16:37:14Z";"Seehaus Knoch";"";"Seehaus Knoch";"Lakeside House Knoch"
"2023-05-25T10:42:53+02:00";"111653";"17009";"2021-07-23T06:48:12Z";"Büro- und Betriebsgebäude Buchversand Dr. Mende";"";"Büro- und Betriebsgebäude Buchversand Dr. Mende";"Office and Factory Building Book Dispatch Dr. Mende"
"2023-05-25T10:42:53+02:00";"111654";"17010";"2023-03-28T12:41:05Z";"Weberei Ganahl & Co. : Sanierung";"";"Weberei Ganahl & Co. : Sanierung";"Weaving Mill Ganahl & Co. : Renovation"
"2023-05-25T10:42:53+02:00";"111655";"17011";"2023-03-28T12:41:06Z";"Rometal SA";"";"Rometal SA";"Rometal SA"
"2023-05-25T10:42:53+02:00";"111656";"17012";"2023-05-02T15:09:55Z";"Losinger & Co. AG (Vorspannsysteme Losinger VSL ?) : Werkstattgebäude";"";"Losinger & Co. AG (Vorspannsysteme Losinger VSL ?) : Werkstattgebäude";"Losinger & Co. AG (Prestressing Systems Losinger Vsl?) : Workshop Building"
"2023-05-25T10:42:53+02:00";"111657";"17013";"2023-05-09T22:16:57Z";"Sportzentrum am Bielersee u.a.";"Sports Center at Lake Biel";"Sportzentrum am Bielersee u.a.";"Sports Center at Lake Biel and Others"
"2023-05-25T10:42:53+02:00";"111658";"17014";"2023-05-09T09:45:12Z";"Schweizerische Bundesbahnen SBB : Dachelemente für Wartehallen : Flughafen Kloten";"";"Schweizerische Bundesbahnen SBB : Dachelemente für Wartehallen : Flughafen Kloten";"Swiss Federal Railways SBB : Roof Elements for Waiting Halls : Kloten Airport"
"2023-05-25T10:42:53+02:00";"111659";"17015";"2023-05-03T16:55:28Z";"Schwimmbad Gianella";"";"Schwimmbad Gianella";"Swimming Pool Gianella"
"2023-05-25T10:42:53+02:00";"111661";"17017";"2023-03-28T12:41:09Z";"Rick (Konfektionshaus, Bodenbeläge)";"";"Rick (Konfektionshaus, Bodenbeläge)";"Rick (Clothing Store, Flooring)"
"2023-05-25T10:42:53+02:00";"111662";"17018";"2023-04-03T15:56:30Z";"Baugeschäft Neumatt Lorenzi Fritz : Einstellhalle : Neubau";"";"Baugeschäft Neumatt Lorenzi Fritz : Einstellhalle : Neubau";"Construction Business Neumatt Lorenzi Fritz : Garage : New Building"
"2023-05-25T10:42:53+02:00";"111663";"17019";"2023-05-13T13:19:31Z";"Ins im Seeland";"";"Ins im Seeland";"Ins in Zealand"
"2023-05-25T10:42:53+02:00";"111664";"17020";"2023-03-28T12:41:11Z";"Firma Mautner Markhof : Lager- und Garagenneubau";"";"Firma Mautner Markhof : Lager- und Garagenneubau";"Mautner Markhof Company : Storage and Garages"
"2023-05-25T10:42:53+02:00";"111665";"17021";"2023-03-28T12:41:12Z";"Verzinkerei AG Däniken";"";"Verzinkerei AG Däniken";"Galvanizing AG Däniken"
"2023-05-25T10:42:53+02:00";"111666";"17022";"2023-03-28T12:41:13Z";"Carl Spaeter AG";"";"Carl Spaeter AG";"Carl Spaeter AG"
"2023-05-25T10:42:53+02:00";"111667";"17023";"2023-03-28T12:41:14Z";"Carrosseriewerk Ramseier & Jenzer AG : Gesamtplanung";"";"Carrosseriewerk Ramseier & Jenzer AG : Gesamtplanung";"Car Body Factory Ramseier & Jenzer AG : Overall Planning"
"2023-05-25T10:42:53+02:00";"111668";"17024";"2023-03-28T12:41:15Z";"Industriehallen";"";"Industriehallen";"Industrial Hall"
"2023-05-25T10:42:53+02:00";"111669";"17025";"2021-08-29T18:39:07Z";"Fensterfabrik Bruno Piatti : Werk Dietlikon";"";"Fensterfabrik Bruno Piatti : Werk Dietlikon";"Bruno Piatti Window Factory: Dietlikon Plant"
"2023-05-25T10:42:53+02:00";"111670";"17026";"2023-02-10T13:57:31Z";"VW-Garage Gebrüder Dürst";"VW-Garage Gebrüder Dürst";"VW Garage Gebrüder Dürst";"VW Garage Brothers Dürst"
"2023-05-25T10:42:53+02:00";"111671";"17027";"2023-04-12T09:38:53Z";"(DZ Bank ?)";"";"(DZ Bank ?)";"(DZ Bank ?)"
"2023-05-25T10:42:53+02:00";"111672";"17028";"2023-03-28T12:41:18Z";"Rexer";"";"Rexer";"Rexer"
"2023-05-25T10:42:53+02:00";"111673";"17029";"2023-05-02T14:43:37Z";"Pfannenfabrik Epos : Neuüberdachung";"";"Pfannenfabrik Epos : Neuüberdachung";"Pan Factory Epos : New Roofing"
"2023-05-25T10:42:53+02:00";"111674";"17030";"2023-03-28T12:41:20Z";"Fabrikationshallen Heinz Messmer";"";"Fabrikationshallen Heinz Messmer";"Manufacturing Halls Heinz Messmer"
"2023-05-25T10:42:53+02:00";"111675";"17031";"2023-05-03T08:31:52Z";"HIB : Thyon 2000 : Konferenzsaal und Tennishalle";"";"HIB : Thyon 2000 : Konferenzsaal und Tennishalle";"HIB : Thyon 2000 : Conference Room and Tennis Hall"
"2023-05-25T10:42:53+02:00";"111676";"17032";"2023-04-27T15:58:31Z";"Diverse Anfrage mit wenig Material";"";"Diverse Anfrage mit wenig Material";"Various Request With Little Material"
