_system_object_id,_id,_last_modified,oeu_nc_name_de_archive,oeu_nc_name_en_archive,oeu_nc_name_de_isler,oeu_nc_name_en_isler,_marker_de,_marker_en
"111670","17026","2023-02-10T13:57:31Z","VW-Garage Gebrüder Dürst","VW-Garage Gebrüder Dürst","VW Garage Gebrüder Dürst","VW Garage Brothers Dürst","de_nicht_identisch","en_nicht_identisch"
"111684","17040","2021-07-27T07:58:57Z","Weberei Ganahl & Co. : Überdeckung der Schalen mit Holzdach","","Weberei Ganahl & Co. Frastanz","Weaving Mill Ganahl & Co. Frastanz","de_nicht_identisch","en_nicht_identisch"
"111718","17074","2023-02-23T17:20:39Z","Naturtheater Stetten (heute Theater unter den Kuppeln)","Naturtheater Stetten (Today Theater Under the Cupolas)","Naturtheater Stetten","Natural Theatre Stetten","de_nicht_identisch","en_nicht_identisch"
"111746","17102","2023-05-02T07:56:18Z","Südwestdeutsche Verkehrs-AG SWEG : Triebwagenwartungshalle Ottenhöfen","","Südwestdeutsche Verkehrs-AG SWEG: Triebwagenwartungshalle Ottenhöfen","Südwestdeutsche Verkehrs-AG SWEG: Railcar Maintenance Hall Ottenhöfen","de_nicht_identisch","en_nicht_identisch"
"111761","17117","2023-03-28T12:41:50Z","Store for Mr. Bin-Yaqub","","Laden für Herr Bin-Yaqub","Store for Mr. Bin-Yaqub","de_nicht_identisch","en_nicht_identisch"
"111762","17118","2021-07-26T10:50:43Z","Einfamilienhaus Etter","","Einfamilienhaus Etter Lurtigen","Single-Family House Etter Lurtigen","de_nicht_identisch","en_nicht_identisch"
"111768","17124","2023-02-23T17:19:38Z","Naturtheater Stetten (heute Theater unter den Kuppeln) : Überdachung Zuschauertribüne","Naturtheater Stetten (Today Theater Under the Cupolas) : Canopy of the Auditorium","Naturtheater Stetten","Natural Theatre Stetten","de_nicht_identisch","en_nicht_identisch"
"111846","17202","2023-03-28T12:42:57Z","Pro Rheno Betriebs AG: Abwasserreinigungsanlage ARA: Abdeckung Abwassertanks","","Pro Rheno Betriebs AG : Abwasserreinigungsanlage ARA : Abdeckung Abwassertanks","Pro Rheno Betriebs AG : Ara Wastewater Treatment Plant : Cover Wastewater Tanks","de_nicht_identisch","en_nicht_identisch"
"111850","17206","2023-05-02T12:56:53Z","Bauunternehmung W. Bösiger AG : Bürogebäude","","Bauunternehmung W. Bösiger AG","Construction Company W. Bösiger AG","de_nicht_identisch","en_nicht_identisch"
"111856","17212","2021-03-11T17:24:11Z","Metallbearbeitung Haba AG : Lagerhalle : Neubau","","Metallbearbeitung Haba AG","Metalworking Haba AG","de_nicht_identisch","en_nicht_identisch"
"111886","17242","2023-05-11T14:49:00Z","Armeemotorfahrzeugpark AMP, Burgdorf : Amt für Bundesbauten, Baukreis 3 : Tankstellendach Sanierung","","Armeemotorfahrzeugpark AMP, Burgdorf : Amt für Bundesbauten, Baukreis 3 : Tankstellendach Sanierung Burgdorf, Militärstrasse","Army Motor Vehicle Park AMP, Burgdorf : Office for Federal Buildings, Construction Group 3 : Gas station Roof Renovation Burgdorf, Militärstrasse","de_nicht_identisch","en_nicht_identisch"
"111922","17278","2023-03-29T09:21:52Z","Daimler Chrysler Museum : MB (Mercedes-Benz) Center","Daimler Chrysler Museum : MB (Mercedes-Benz) Center","Daimler Chrysler Museum: MB (Mercedes-Benz) Center","Daimler Chrysler Museum : MB (Mercedes-Benz) Center","de_nicht_identisch","en_identisch"
"111972","17328","2023-03-29T09:22:20Z","Daimler Chrysler Museum: MB (Mercedes-Benz) Center","","Daimler Chrysler Museum : MB (Mercedes-Benz) Center","Daimler Chrysler Museum : MB (Mercedes-Benz) Center","de_nicht_identisch","en_nicht_identisch"
"111973","17329","2023-04-11T14:29:31Z","Arch. Büro Urbania : Werkhalle","","Arch. Büro Urbania : Werkhalle Baden","Arch. Büro Urbania : Workshop Baden","de_nicht_identisch","en_nicht_identisch"
"112046","17402","2023-05-02T16:34:49Z","Sport Village Folkeston","","Sportdorf Folkeston","Sport Village Folkeston","de_nicht_identisch","en_nicht_identisch"
"112075","17431","2021-07-21T11:48:08Z","Metallbau H. Kohler & Sohn AG (Füglistaller Metallbau AG; heute aml AG Apparatebau und Metalltechnik)","","Metalbau H. Kohler & Sohn AG","Metal Construction H. Kohler & Sohn AG","de_nicht_identisch","en_nicht_identisch"
"112146","17502","2023-05-03T08:20:08Z","Motel (Albergo) Losone: Erweiterung und Hallenbad","","Motel (Albergo) Losone : Erweiterung und Hallenbad","Motel (Albergo) Losone : Extension and Indoor Swimming Pool","de_nicht_identisch","en_nicht_identisch"
"112150","17506","2021-07-27T07:16:01Z","Ruwa Drahtschweisswerk AG : Deckenverstärkung","","Ruwa Drahtschweisswerk AG Sumiswald","Ruwa Wire Welding Plant AG Sumiswald","de_nicht_identisch","en_nicht_identisch"
"112153","17509","2023-03-28T12:02:34Z","Doppeleinfamilienhaus K. & R. Mühlemann","","Doppeleinfamilienhaus K. & R. Mühlemann Kirchberg","Double Single Family House K. & R. Mühlemann Kirchberg","de_nicht_identisch","en_nicht_identisch"
"112157","17513","2021-07-27T07:40:08Z","Tüscher: Werkstatterweiterung","","Tüscher: Werkstatterweiterung Zuzwil","Tüscher: Extension of the Workshop in Zuzwil","de_nicht_identisch","en_nicht_identisch"
"112188","17544","2023-05-03T16:55:37Z","SAFFA 1958 : Sesselbahn Antriebstation Alpenquai: aufgehängte Kunststofflinse","","SAFFA 1958: Sesselbahn Antriebstation Alpenquai","SAFFA 1958 : Alpenquai Drive Station Chairlift","de_nicht_identisch","en_nicht_identisch"
"112252","17608","2023-03-28T12:04:10Z","E. Bassin AG : Hallenneubau :","","E. Bassin AG : Hallenneubau","E. Bassin AG : New Hall Construction","de_nicht_identisch","en_nicht_identisch"
"112347","17703","2023-05-03T15:59:32Z","Sprengstoff-Fabrik Isleten","","Sprengstofffabrik Isleten","Isleten Explosives Factory","de_nicht_identisch","en_nicht_identisch"
"112363","17719","2021-07-21T08:23:05Z","Zentralheizungen Kurt Tobler : Lagerhalle","","Zentralheizungen Tobler","Central Heating System Tobler","de_nicht_identisch","en_nicht_identisch"
"112375","17731","2021-07-27T07:35:45Z","Terrassenhäuser Rain-Bünten","","Terrassenhäuser Rain-Bünten Oensingen","Terrace Houses Rain-Bünten Oensingen","de_nicht_identisch","en_nicht_identisch"
"112385","17741","2021-07-21T09:19:43Z","Trösch Glas AG : Produktions- und Lagerhalle","","Trösch Glas AG: Produktions- und Lagerhalle","Trösch Glas AG: Production and Storage Hall","de_nicht_identisch","en_nicht_identisch"
"112387","17743","2023-05-03T11:31:49Z","Südwestdeutsche Verkehrs-AG SWEG : Buseinstellhalle Ettenheim","","Südwestdeutsche Verkehrs-AG SWEG: Buseinstellhalle Ettenheim","Südwestdeutsche Verkehrs-AG SWEG: Ettenheim bus depot","de_nicht_identisch","en_nicht_identisch"
"112388","17744","2021-07-26T14:38:11Z","Mehrfamilienhäuser Bösiger","","Mehrfamilienhäuser Bösiger Langenthal","Multi-Family Houses Bösiger Langenthal","de_nicht_identisch","en_nicht_identisch"
"112443","17799","2023-02-28T16:23:51Z","Mechanische Werkstätte Kurt Studer (heute Studer AG Landtechnik und Umwelttechnik) : Erweiterung Neubau","","Mechanische Werkstätte Kurt Studer (heute Studer AG Landtechnik und Umwelttechnik)","Mechanical Workshop Kurt Studer (Today Studer AG Landtechnik und Umwelttechnik) : Extension New Building","de_nicht_identisch","en_nicht_identisch"
"112461","17817","2021-07-27T07:17:24Z","Ruwa Drahtschweisswerk AG : Netzschneidehalle","","Ruwa Drahtschweisswerk AG Sumiswald","Ruwa Wire Welding Plant AG Sumiswald","de_nicht_identisch","en_nicht_identisch"
"112484","17840","2023-05-03T17:04:20Z","Bundesgartenschau BUGA 1971 : Trichterschirme","Federal Garden Show BUGA 1971 : Funnel Umbrellas","Bundesgartenschau BUGA","Federal Garden Show BUGA","de_nicht_identisch","en_nicht_identisch"
"112485","17841","2023-05-02T14:49:38Z","Fabrik Dicht AG","Dicht Factory AG","FabrikDicht AG","FabrikDicht AG","de_nicht_identisch","en_nicht_identisch"
