_system_object_id,_id,_last_modified,oeu_nc_name_de_archive,oeu_nc_name_en_archive,oeu_nc_name_de_isler,oeu_nc_name_en_isler,_marker_de,_marker_en
"111657","17013","2023-05-09T22:16:57Z","Sportzentrum am Bielersee u.a.","Sports Center at Lake Biel","Sportzentrum am Bielersee u.a.","Sports Center at Lake Biel and Others","de_identisch","en_nicht_identisch"
"111670","17026","2023-02-10T13:57:31Z","VW-Garage Gebrüder Dürst","VW-Garage Gebrüder Dürst","VW Garage Gebrüder Dürst","VW Garage Brothers Dürst","de_nicht_identisch","en_nicht_identisch"
"111718","17074","2023-02-23T17:20:39Z","Naturtheater Stetten (heute Theater unter den Kuppeln)","Naturtheater Stetten (Today Theater Under the Cupolas)","Naturtheater Stetten","Natural Theatre Stetten","de_nicht_identisch","en_nicht_identisch"
"111768","17124","2023-02-23T17:19:38Z","Naturtheater Stetten (heute Theater unter den Kuppeln) : Überdachung Zuschauertribüne","Naturtheater Stetten (Today Theater Under the Cupolas) : Canopy of the Auditorium","Naturtheater Stetten","Natural Theatre Stetten","de_nicht_identisch","en_nicht_identisch"
"112316","17672","2023-03-29T09:08:26Z","Dan u. Komme GmbH : Eishallen Überdeckung Filderstadt : Fildorado","Dan u. Komme GmbH : Ice Rink Cover Filderstadt : Fildorado","Dan u. Komme GmbH : Eishallen Überdeckung Filderstadt : Fildorado","Dan U. Komme GmbH : Ice Rink Covering Filderstadt : Fildorado","de_identisch","en_nicht_identisch"
"112484","17840","2023-05-03T17:04:20Z","Bundesgartenschau BUGA 1971 : Trichterschirme","Federal Garden Show BUGA 1971 : Funnel Umbrellas","Bundesgartenschau BUGA","Federal Garden Show BUGA","de_nicht_identisch","en_nicht_identisch"
"112485","17841","2023-05-02T14:49:38Z","Fabrik Dicht AG","Dicht Factory AG","FabrikDicht AG","FabrikDicht AG","de_nicht_identisch","en_nicht_identisch"
"113187","18543","2023-03-28T12:10:56Z","Kaufhaus","Department Store","Kaufhaus","Kaufhaus","de_identisch","en_nicht_identisch"
"113441","18797","2023-03-29T08:38:36Z","Danzas : Speditionshalle : Neubau","Danzas : Freight Forwarding Hall : New Building","Danzas : Speditionshalle : Neubau","Danzas : Shipping Hall","de_identisch","en_nicht_identisch"
"114240","19596","2023-05-09T15:12:30Z","Daimler-Benz AG : Hallen in Karlsruhe","Daimler-Benz AG : Halls in Karlsruhe","Daimler-Benz AG : Hallen in Karlsruhe","Daimler-Benz AG: Halls in Karlsruhe","de_identisch","en_nicht_identisch"
"114741","20097","2023-05-14T11:37:40Z","Carrosserie Rusterholz AG","Carrosserie Rusterholz AG","Carrosseriewerk Rusterholz AG Richterswil","Bodywork Rusterholz AG Richterswil","de_nicht_identisch","en_nicht_identisch"
"114874","20230","2023-04-27T15:57:11Z","Diverse Anfrage mit wenig Material","Various Request With Little Material","Diverse Anfrage mit wenig Material","","de_identisch","en_nicht_identisch"
"115141","20497","2023-03-29T08:24:58Z","Depot-Halle O. SA","Depot Hall O. SA","Depot-Halle O. SA","Depot-Hall O. SA","de_identisch","en_nicht_identisch"
"115489","20845","2023-05-23T08:06:06Z","Dokumentation für Libyen","Documentation for Libya","Dokumentation für Libyen","","de_identisch","en_nicht_identisch"
"115722","21078","2023-03-01T13:45:36Z","Lesieur + Cotelle : 1./5. Etappe","Lesieur + Cotelle : 1st/5th Stage","Lesieur + Cotelle","Lesieur + Cotelle","de_nicht_identisch","en_nicht_identisch"
