"_system_object_id","oeu_nc_name_de","oeu_nc_name_en","_tags"
"111593","Atom Unterstand Propisa","Nuclear Shelter Propisa","ed-dc-leo"
"111594","Fulterer","Fulterer","ed-dc-leo"
"111595","Besitzung Ried : Grossviehstall","Ried Property : Livestock Stables","ed-dc-leo"
"111596","Kilcher Wohnhaus","Kilcher House","ed-dc-leo"
"111597","Einfamilienhaus Bittel","Single-Family House Bittel","ed-dc-leo"
"111598","Intrapolis : Trichterhaus","Intrapolis : Funnel House","ed-dc-leo"
"111599","Exbier GmbH : Fabrikationshallen","Exbier GmbH : Production Halls","ed-dc-leo"
"111600","Kirche auf den Antillen","Church in the West Indies","ed-dc-leo"
"111601","Litco SA","Litco SA","ed-dc-leo"
"111602","Seehaus Knoch","Lakeside House Knoch","ed-dc-leo"
"111603","Büro- und Betriebsgebäude Buchversand Dr. Mende","Office and Factory Building Book Dispatch Dr. Mende","ed-dc-leo"
"111606","Losinger & Co. AG","Losinger & Co. AG","ed-dc-leo"
"111607","Sportzentrum am Bielersee u.a.","Sports Center at Lake Biel and Others","ed-dc-leo"
"111608","Schweizerische Bundesbahnen SBB : Dachelemente für Wartehallen : Flughafen Kloten","Swiss Federal Railways SBB : Roof Elements for Waiting Halls : Kloten Airport","ed-dc-leo"
"111609","Schwimmbad Gianella","Swimming Pool Gianella","ed-dc-leo"
"111612","Baugeschäft Neumatt Lorenzi Fritz : Einstellhalle : Neubau","Construction Business Neumatt Lorenzi Fritz : Parking Garage : New Building","ed-dc-leo"
"111613","Ins im Seeland","Ins in Zealand","ed-dc-leo"
"111614","Firma Mautner Markhof : Lager- und Garagenneubau","Mautner Markhof Company : Storage and Garages","ed-dc-leo"
"111615","Verzinkerei AG Däniken","Galvanizing AG Däniken","ed-dc-leo"
"111616","Carl Spaeter AG","Carl Spaeter AG","ed-dc-leo"
"111618","Industriehallen","Industrial Hall","ed-dc-leo"
"111620","VW-Garage Gebrüder Dürst","VW Garage Gebrüder Dürst","ed-dc-leo"
"111621","(DZ Bank ?)","(DZ Bank ?)","ed-dc-leo"
"111623","Pfannenfabrik Epos : Neuüberdachung","Pan Factory Epos : New Roofing","ed-dc-leo"
"111624","Fabrikationshallen Heinz Messmer","Manufacturing Halls Heinz Messmer","ed-dc-leo"
"111625","HIB : Thyon 2000 : Konferenzsaal und Tennishalle","HIB : Thyon 2000 : Conference Room and Tennis Hall","ed-dc-leo"
"111627","Nord-Süd-Garage Felber & Engler : Ausstellungshalle","North-South Garage Felber & Engler : Exhibition Hall","ed-dc-leo"
"111628","Deutsches Rotes Kreuz : Garage und Magazin (Einfamilienhaus Balz : Anbau)","German Red Cross : Garage and Warehouse (Single-Family House Balz : Extension)","ed-dc-leo"
"111629","Hoch- und Tiefbau-Unternehmung Johann Hackl : Einstellhalle","Building and Civil Engineering Company Johann Hackl : Parking Garage","ed-dc-leo"
"111630","Müller und Laubscher","Müller and Laubscher","ed-dc-leo"
"111631","Härterei Gerster AG","Heat Treatment Gerster AG","ed-dc-leo"
"111632","Ingenieur E. Hauptmann, Essen","Engineer E. Hauptmann, Essen","ed-dc-leo"
"111637","Unterlagen zu Lichtkuppeln, Krananlagen und einer Versuchsschale","Documents on Domed Skylights, Crane Systems and a Test Shell","ed-dc-leo"
"111638","Architekten Suter & Suter : Garagenneubau","Architects Suter & Suter : New Garage Building","ed-dc-leo"
"111639","HIB : Broadland Sports Village : Tennishalle und Eventhalle","HIB : Broadland Sports Village : Tennis Hall and Event Hall","ed-dc-leo"
"111640","HIB : Clydebank Sport Village : Multisporthalle : Bowlinghalle : Hallenbad","HIB : Clydebank Sport Village : Multisport Hall : Bowling Hall : Indoor Swimming Pool","ed-dc-leo"
"111641","Antibakteria AG","Antibakteria AG","ed-dc-leo"
"111642","Bauunternehmung W. Bösiger AG : Erweiterung","Construction Company W. Bösiger AG : Extension","ed-dc-leo"
"111643","Atom Unterstand Propisa","Atom Shelter Propisa","ed-dc-leo"
"111644","Fulterer","Fulterer","ed-dc-leo"
"111645","Besitzung Ried : Grossviehstall","Ried Property : Livestock Stables","ed-dc-leo"
"111646","Kilcher Wohnhaus","Kilcher House","ed-dc-leo"
"111647","Einfamilienhaus Bittel","Single-Family House Bittel","ed-dc-leo"
"111648","Intrapolis : Trichterhaus","Intrapolis : Funnel House","ed-dc-leo"
