"_system_object_id","oeu_nc_name_de","oeu_nc_name_en","_tags"
"112590","Schweizerische Drahtziegelfabrik Lotzwil SDL AG","Swiss Wirecut Brick Factory Lotzwil SDL AG","ed-dc-leo"
"112591","Feriendorf (heute Hotel) Twannberg : Iglus","Feriendorf (Today Hotel) Twannberg : Igloos","ed-dc-leo"
"112592","Hallen in der Schweiz","Halls in Switzerland","ed-dc-leo"
"112594","Sportarena","Sports Arena","ed-dc-leo"
"112595","Mäder & Co. : Lagerhalle","Mäder & Co. : Warehouse","ed-dc-leo"
"112596","Bauisolationen F. Kilcher AG","Building Insulation F. Kilcher AG","ed-dc-leo"
"112598","Consulent-Bau AG : Früchte- und Fleischkühlhäuser","Consulent-Bau AG : Fruit and Meat Cool Houses","ed-dc-leo"
"112599","Schwimmbad Morges","Morges Swimming Pool","ed-dc-leo"
"112600","Haus + Herd, Industrie","House + Stove, Industry","ed-dc-leo"
"112601","Garage Senn","Garage Senn","ed-dc-leo"
"112602","Hotel Anfi del Mar","Hotel Anfi del Mar","ed-dc-leo"
"112603","Kunst und Medienzentrum Rheinhafen GmbH : Der Neue Zollhof : Fassade Düsseldorf","Art and Media Center Rheinhafen GmbH : The Neue Zollhof : Facade Düsseldorf","ed-dc-leo"
"112604","Schweizer Armee : Geh- und Karrensteg","Swiss Army : Walkway and Cart Bridge","ed-dc-leo"
"112605","Trickler Schaumstoff","Trickler Foam","ed-dc-leo"
"112606","HIB : JPA Nelissen : Universal Sporthalle Nr. 6 und 7","HIB : Jpa Nelissen : Universal Sports Hall No. 6 and 7","ed-dc-leo"
"112607","Maus Frères : Firma Nordmann : Lagerhaus : Neubau","Maus Frères : Nordmann Company : Warehouse : New Building","ed-dc-leo"
"112608","Kebau AG : Türkisches Kulturzentrum : Moschee","Kebau AG : Turkish Cultural Center : Mosque","ed-dc-leo"
"112609","Hüseyn","Hüseyn","ed-dc-leo"
"112610","Kupferschmiede und Apparatebau W. Jäggi & Co.","Coppersmiths and Apparatus Engineering W. Jäggi & Co.","ed-dc-leo"
"112611","Umfahrungsstrasse Wangen","Wangen Bypass Road","ed-dc-leo"
"112613","Gartencenter Ferme de Servon (heute Jardinerie Truffaut) RN 19","Garden Center Ferme de Servon (Today Jardinerie Truffaut) RN 19","ed-dc-leo"
"112614","Herr Zaugg, Geilinger","Mr. Zaugg, Geilinger","ed-dc-leo"
"112615","Meret Oppenheim-Brunnen","Meret Oppenheim Fountain","ed-dc-leo"
"112616","Dietze : Kommunikationszentrum am Stausee Hohenfelde","Dietze : Communication Center at the Hohenfelde Reservoir","ed-dc-leo"
"112618","Weberei Ganahl & Co. Frastanz","Weaving Mill Ganahl & Co. Frastanz","ed-dc-leo"
"112619","Arbex Team Zurich : Exhibition Hall : Möbelausstellung","Arbex Team Zurich : Exhibition Hall : Furniture Exhibition","ed-dc-leo"
"112620","Pilatus Porter : Tonnengwölbe","Pilatus Porter : Barrel Vault","ed-dc-leo"
"112622","Maschinenfabrik Wälchli","Machine Factory Wälchli","ed-dc-leo"
"112623","A. Ronx","A. Ronx","ed-dc-leo"
"112626","Einfamilienhaus Berchtold : Schutzraum","Berchtold Family House : Emergency Room","ed-dc-leo"
