"_system_object_id","oeu-nc-name-en","tag-add"
"111593","Nuclear Shelter Propisa","ed-dc-leo"
"111594","Fulterer","ed-dc-leo"
"111595","Ried Property : Livestock Stables","ed-dc-leo"
"111596","Kilcher House","ed-dc-leo"
"111597","Single-Family House Bittel","ed-dc-leo"
"111598","Intrapolis : Funnel House","ed-dc-leo"
"111599","Exbier GmbH : Production Halls","ed-dc-leo"
"111600","Church in the West Indies","ed-dc-leo"
"111601","Litco SA","ed-dc-leo"
"111602","Lakeside House Knoch","ed-dc-leo"
"111603","Office and Factory Building Book Dispatch Dr. Mende","ed-dc-leo"
"111606","Losinger & Co. AG","ed-dc-leo"
"111607","Sports Center at Lake Biel and Others","ed-dc-leo"
"111608","Swiss Federal Railways SBB : Roof Elements for Waiting Halls : Kloten Airport","ed-dc-leo"
"111609","Swimming Pool Gianella","ed-dc-leo"
"111612","Construction Business Neumatt Lorenzi Fritz : Parking Garage : New Building","ed-dc-leo"
"111613","Ins in Zealand","ed-dc-leo"
"111614","Mautner Markhof Company : Storage and Garages","ed-dc-leo"
"111615","Galvanizing AG Däniken","ed-dc-leo"
"111616","Carl Spaeter AG","ed-dc-leo"
"111618","Industrial Hall","ed-dc-leo"
"111620","VW Garage Gebrüder Dürst","ed-dc-leo"
"111621","(DZ Bank ?)","ed-dc-leo"
"111623","Pan Factory Epos : New Roofing","ed-dc-leo"
"111624","Manufacturing Halls Heinz Messmer","ed-dc-leo"
"111625","HIB : Thyon 2000 : Conference Room and Tennis Hall","ed-dc-leo"
"111627","North-South Garage Felber & Engler : Exhibition Hall","ed-dc-leo"
"111628","German Red Cross : Garage and Warehouse (Single-Family House Balz : Extension)","ed-dc-leo"
"111629","Building and Civil Engineering Company Johann Hackl : Parking Garage","ed-dc-leo"
"111630","Müller and Laubscher","ed-dc-leo"
"111631","Heat Treatment Gerster AG","ed-dc-leo"
"111632","Engineer E. Hauptmann, Essen","ed-dc-leo"
"111637","Documents on Domed Skylights, Crane Systems and a Test Shell","ed-dc-leo"
"111638","Architects Suter & Suter : New Garage Building","ed-dc-leo"
"111639","HIB : Broadland Sports Village : Tennis Hall and Event Hall","ed-dc-leo"
"111640","HIB : Clydebank Sport Village : Multisport Hall : Bowling Hall : Indoor Swimming Pool","ed-dc-leo"
"111641","Antibakteria AG","ed-dc-leo"
"111642","Construction Company W. Bösiger AG : Extension","ed-dc-leo"
"111643","Atom Shelter Propisa","ed-dc-leo"
"111644","Fulterer","ed-dc-leo"
"111645","Ried Property : Livestock Stables","ed-dc-leo"
"111646","Kilcher House","ed-dc-leo"
"111647","Single-Family House Bittel","ed-dc-leo"
"111648","Intrapolis : Funnel House","ed-dc-leo"
"111649","Exbier GmbH : Production Halls","ed-dc-leo"
"111650","Church in the West Indies","ed-dc-leo"
"111651","Litco SA","ed-dc-leo"
"111652","Lakeside House Knoch","ed-dc-leo"
"111653","Office and Factory Building Book Dispatch Dr. Mende","ed-dc-leo"
"111654","Weaving Mill Ganahl & Co. : Renovation","ed-dc-leo"
"111655","Rometal SA","ed-dc-leo"
"111656","Losinger & Co. AG (Prestressing Systems Losinger Vsl?) : Workshop Building","ed-dc-leo"
"111657","Sports Center at Lake Biel and Others","ed-dc-leo"
"111658","Swiss Federal Railways SBB : Roof Elements for Waiting Halls : Kloten Airport","ed-dc-leo"
"111659","Swimming Pool Gianella","ed-dc-leo"
"111661","Rick (Clothing Store, Flooring)","ed-dc-leo"
"111662","Construction Business Neumatt Lorenzi Fritz : Parking Garage : New Building","ed-dc-leo"
"111663","Ins in Zealand","ed-dc-leo"
"111664","Mautner Markhof Company : Storage and New Garage Building","ed-dc-leo"
"111665","Galvanizing AG Däniken","ed-dc-leo"
"111666","Carl Spaeter AG","ed-dc-leo"
"111667","Car Body Factory Ramseier & Jenzer AG : Overall Planning","ed-dc-leo"
"111668","Industrial Hall","ed-dc-leo"
"111670","VW Garage Gebrüder Dürst","ed-dc-leo"
"111671","(DZ Bank ?)","ed-dc-leo"
"111672","Rexer","ed-dc-leo"
