"_system_object_id";"oeu_nc_name_de";"oeu_nc_name_en";"_tags";"easydb|row_idx";"easydb|operation";"easydb|status";"easydb|timestamp";"easydb|status_text";"easydb|warning_text";"easydb|id";"easydb|version";"easydb|id_parent";"easydb|depth";"easydb|path";"easydb|act|act__shortest";"easydb|act_role|act_role__all_fields";"easydb|generic_lang|generic_lang__all_fields";"easydb|generic_nametype|generic_nametype__all_fields";"easydb|bi|bi__all_fields";"easydb|ac|ac__all_fields";"easydb|pl|pl_display_short";"easydb|generic_uncertainty|generic_uncert__all_fields";"easydb|generic_identifier_type|generic_identifier_type__all_fields";"easydb|generic_dimensions|generic_dimensions__all_fields";"easydb|oeu_nc_type|oeu_type__all_fields";"easydb|hierarchy-oeu|oeu__all_fields";"easydb|do|do__generic_import"
"112590";"Schweizerische Drahtziegelfabrik Lotzwil SDL AG";"Swiss Wirecut Brick Factory Lotzwil SDL AG";"ed-dc-leo";"0";"[""update""]";"done";"2023-06-22 14:04:33";"";"";"17946";"";"17895";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112591";"Feriendorf (heute Hotel) Twannberg : Iglus";"Feriendorf (Today Hotel) Twannberg : Igloos";"ed-dc-leo";"1";"[""update""]";"done";"2023-06-22 14:04:33";"";"";"17947";"";"17896";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112592";"Hallen in der Schweiz";"Halls in Switzerland";"ed-dc-leo";"2";"[""update""]";"done";"2023-06-22 14:04:33";"";"";"17948";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112594";"Sportarena";"Sports Arena";"ed-dc-leo";"3";"[""update""]";"done";"2023-06-22 14:04:33";"";"";"17950";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112595";"Mäder & Co. : Lagerhalle";"Mäder & Co. : Warehouse";"ed-dc-leo";"4";"[""update""]";"done";"2023-06-22 14:04:33";"";"";"17951";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112596";"Bauisolationen F. Kilcher AG";"Building Insulation F. Kilcher AG";"ed-dc-leo";"5";"[""update""]";"done";"2023-06-22 14:04:33";"";"";"17952";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112598";"Consulent-Bau AG : Früchte- und Fleischkühlhäuser";"Consulent-Bau AG : Fruit and Meat Cool Houses";"ed-dc-leo";"6";"[""update""]";"done";"2023-06-22 14:04:33";"";"";"17954";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112599";"Schwimmbad Morges";"Morges Swimming Pool";"ed-dc-leo";"7";"[""update""]";"done";"2023-06-22 14:04:33";"";"";"17955";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112600";"Haus + Herd, Industrie";"House + Stove, Industry";"ed-dc-leo";"8";"[""update""]";"done";"2023-06-22 14:04:33";"";"";"17956";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112601";"Garage Senn";"Garage Senn";"ed-dc-leo";"9";"[""update""]";"done";"2023-06-22 14:04:33";"";"";"17957";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
