"_system_object_id";"oeu_nc_name_de";"oeu_nc_name_en";"_tags";"easydb|row_idx";"easydb|operation";"easydb|status";"easydb|timestamp";"easydb|status_text";"easydb|warning_text";"easydb|id";"easydb|version";"easydb|id_parent";"easydb|depth";"easydb|path";"easydb|act|act__shortest";"easydb|act_role|act_role__all_fields";"easydb|generic_lang|generic_lang__all_fields";"easydb|generic_nametype|generic_nametype__all_fields";"easydb|bi|bi__all_fields";"easydb|ac|ac__all_fields";"easydb|pl|pl_display_short";"easydb|generic_uncertainty|generic_uncert__all_fields";"easydb|generic_identifier_type|generic_identifier_type__all_fields";"easydb|generic_dimensions|generic_dimensions__all_fields";"easydb|oeu_nc_type|oeu_type__all_fields";"easydb|hierarchy-oeu|oeu__all_fields";"easydb|do|do__generic_import"
"112590";"Schweizerische Drahtziegelfabrik Lotzwil SDL AG";"Swiss Wirecut Brick Factory Lotzwil SDL AG";"ed-dc-leo";"0";"[""update""]";"done";"2023-06-22 14:45:17";"";"";"17946";"13";"17895";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112591";"Feriendorf (heute Hotel) Twannberg : Iglus";"Feriendorf (Today Hotel) Twannberg : Igloos";"ed-dc-leo";"1";"[""update""]";"done";"2023-06-22 14:45:17";"";"";"17947";"14";"17896";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112592";"Hallen in der Schweiz";"Halls in Switzerland";"ed-dc-leo";"2";"[""update""]";"done";"2023-06-22 14:45:17";"";"";"17948";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112594";"Sportarena";"Sports Arena";"ed-dc-leo";"3";"[""update""]";"done";"2023-06-22 14:45:17";"";"";"17950";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112595";"Mäder & Co. : Lagerhalle";"Mäder & Co. : Warehouse";"ed-dc-leo";"4";"[""update""]";"done";"2023-06-22 14:45:17";"";"";"17951";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112596";"Bauisolationen F. Kilcher AG";"Building Insulation F. Kilcher AG";"ed-dc-leo";"5";"[""update""]";"done";"2023-06-22 14:45:17";"";"";"17952";"20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112598";"Consulent-Bau AG : Früchte- und Fleischkühlhäuser";"Consulent-Bau AG : Fruit and Meat Cool Houses";"ed-dc-leo";"6";"[""update""]";"done";"2023-06-22 14:45:17";"";"";"17954";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112599";"Schwimmbad Morges";"Morges Swimming Pool";"ed-dc-leo";"7";"[""update""]";"done";"2023-06-22 14:45:17";"";"";"17955";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112600";"Haus + Herd, Industrie";"House + Stove, Industry";"ed-dc-leo";"8";"[""update""]";"done";"2023-06-22 14:45:17";"";"";"17956";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112601";"Garage Senn";"Garage Senn";"ed-dc-leo";"9";"[""update""]";"done";"2023-06-22 14:45:17";"";"";"17957";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112602";"Hotel Anfi del Mar";"Hotel Anfi del Mar";"ed-dc-leo";"10";"[""update""]";"done";"2023-06-22 14:45:17";"";"";"17958";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"112603";"Kunst und Medienzentrum Rheinhafen GmbH : Der Neue Zollhof : Fassade Düsseldorf";"Art and Media Center Rheinhafen GmbH : The Neue Zollhof : Facade Düsseldorf";"ed-dc-leo";"11";"[""update""]";"done";"2023-06-22 14:45:17";"";"";"17959";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
