"_system_object_id";"oeu_nc_name_de";"oeu_nc_name_en";"_tags";"easydb|row_idx";"easydb|operation";"easydb|status";"easydb|timestamp";"easydb|status_text";"easydb|warning_text";"easydb|id";"easydb|version";"easydb|id_parent";"easydb|depth";"easydb|path";"easydb|act|act__shortest";"easydb|act_role|act_role__all_fields";"easydb|generic_lang|generic_lang__all_fields";"easydb|generic_nametype|generic_nametype__all_fields";"easydb|bi|bi__all_fields";"easydb|ac|ac__all_fields";"easydb|pl|pl_display_short";"easydb|generic_uncertainty|generic_uncert__all_fields";"easydb|generic_identifier_type|generic_identifier_type__all_fields";"easydb|generic_dimensions|generic_dimensions__all_fields";"easydb|oeu_nc_type|oeu_type__all_fields";"easydb|hierarchy-oeu|oeu__all_fields";"easydb|do|do__generic_import"
"111593";"Atom Unterstand Propisa";"Nuclear Shelter Propisa";"ed-dc-leo";"0";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16949";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111594";"Fulterer";"Fulterer";"ed-dc-leo";"1";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16950";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111595";"Besitzung Ried : Grossviehstall";"Ried Property : Livestock Stables";"ed-dc-leo";"2";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16951";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111596";"Kilcher Wohnhaus";"Kilcher House";"ed-dc-leo";"3";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16952";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111597";"Einfamilienhaus Bittel";"Single-Family House Bittel";"ed-dc-leo";"4";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16953";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111598";"Intrapolis : Trichterhaus";"Intrapolis : Funnel House";"ed-dc-leo";"5";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16954";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111599";"Exbier GmbH : Fabrikationshallen";"Exbier GmbH : Production Halls";"ed-dc-leo";"6";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16955";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111600";"Kirche auf den Antillen";"Church in the West Indies";"ed-dc-leo";"7";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16956";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111601";"Litco SA";"Litco SA";"ed-dc-leo";"8";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16957";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111602";"Seehaus Knoch";"Lakeside House Knoch";"ed-dc-leo";"9";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16958";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111603";"Büro- und Betriebsgebäude Buchversand Dr. Mende";"Office and Factory Building Book Dispatch Dr. Mende";"ed-dc-leo";"10";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16959";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111606";"Losinger & Co. AG";"Losinger & Co. AG";"ed-dc-leo";"11";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16962";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111607";"Sportzentrum am Bielersee u.a.";"Sports Center at Lake Biel and Others";"ed-dc-leo";"12";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16963";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111608";"Schweizerische Bundesbahnen SBB : Dachelemente für Wartehallen : Flughafen Kloten";"Swiss Federal Railways SBB : Roof Elements for Waiting Halls : Kloten Airport";"ed-dc-leo";"13";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16964";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111609";"Schwimmbad Gianella";"Swimming Pool Gianella";"ed-dc-leo";"14";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16965";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111612";"Baugeschäft Neumatt Lorenzi Fritz : Einstellhalle : Neubau";"Construction Business Neumatt Lorenzi Fritz : Parking Garage : New Building";"ed-dc-leo";"15";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16968";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111613";"Ins im Seeland";"Ins in Zealand";"ed-dc-leo";"16";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16969";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111614";"Firma Mautner Markhof : Lager- und Garagenneubau";"Mautner Markhof Company : Storage and Garages";"ed-dc-leo";"17";"[""update""]";"done";"2023-06-22 11:56:32";"";"";"16970";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
