_exported_at;_system_object_id;_id;_pool;_pool#de-DE;_pool#en-US;_tags#id;_tags#reference;_tags#shortname;_tags#de-DE;_tags#en-US;_standard#de-DE;_standard#en-US;oeu_legacy_person;oeu_legacy_place;oeu_legacy_chrono;oeu_legacy_note;oeu_nc_name#de-DE;oeu_nc_name#en-US;oeu_archive_exist_construct_timespan#from;oeu_archive_exist_construct_timespan#to;oeu_archive_exist_destruct_timespan#from;oeu_archive_exist_destruct_timespan#to;oeu_descr_legacy_person;oeu_descr_legacy_places;oeu_descr_legacy_chronology;oeu_archive_exist_construct_timespan#text#de-DE;oeu_archive_exist_construct_timespan#text#en-US;_id_parent;oeu_archive_exist_destruct_timespan#text#de-DE;oeu_archive_exist_destruct_timespan#text#en-US
"2023-03-24T15:12:04+01:00";"111592";"16948";"92";"gta Aarchives";"gta Archives";"55
91";;;"To be deleted - do not link!
Œuvres";"To be deleted - do not link!
Œuvres";"Bauunternehmung W. Bösiger AG : Erweiterung Langenthal (Politische Gemeinde)";"Langenthal (Municipality)";;;;;"Bauunternehmung W. Bösiger AG : Erweiterung";"";"";"";;;"Ingenieur: Heinz Isler";"Objektort: (Gaswerkstrasse 25 oder 70 ?) Langenthal/BE";"Vorprojekt 1984";;;;;
"2023-03-24T15:12:04+01:00";"111593";"16949";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Atom Unterstand Propisa Provincia de Barcelona Província de Barcelona (Provinz in Spanien)";"Provincia de Barcelona Província de Barcelona (province of Spain)";;;;;"Atom Unterstand Propisa";"";"";"";;;"Ingenieur: Heinz Isler";"Objektort: Barcelona";"Anfrage 1982";;;;;
"2023-03-24T15:12:04+01:00";"111594";"16950";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Fulterer Lustenau (Gemeinde in Österreich)";"Fulterer Lustenau (municipality of Austria)";;;;;"Fulterer";"Fulterer";"1964";"1966";;;"Ingenieur: Heinz Isler";"Objektort: Lustenau";"Anfrage 1964 und 1966";" 1964 - 1966";"1964 to 1966";;;
"2023-03-24T15:12:04+01:00";"111595";"16951";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Besitzung Ried : Grossviehstall Heimiswil (Politische Gemeinde)";"Heimiswil (Municipality)";;;;;"Besitzung Ried : Grossviehstall";"";"1975";"1975";;;"Ingenieur: Heinz Isler; Architekt: W. Rüedi-Michaud (Gümmenen); Bauherr: Walter Tribolet (Chur)";"Objektort: Heimiswil/BE";"Projekt ausgeführt 1975";;;;;
"2023-03-24T15:12:04+01:00";"111596";"16952";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Kilcher Wohnhaus";"Kilcher House";;;;;"Kilcher Wohnhaus";"Kilcher House";"1967";"1967";;;"Ingenieur: Heinz Isler";"";"Vorprojekt 1967";"1967";"1967";;;
"2023-03-24T15:12:04+01:00";"111597";"16953";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Einfamilienhaus Bittel Meikirch (Politische Gemeinde)";"Single-Family House Bittel Meikirch (Municipality)";;;;;"Einfamilienhaus Bittel";"Single-Family House Bittel";"1976";"1976";;;"Ingenieur: Heinz Isler; Architekt: Ulrich Schluep; Bauherr: Bittel";"Objektort: Meikirch/BE";"Projekt ausgeführt 1976";"1976";"1976";;;
"2023-03-24T15:12:04+01:00";"111598";"16954";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Intrapolis : Trichterhaus";"Intrapolis : Funnel House";;;;;"Intrapolis : Trichterhaus";"Intrapolis : Funnel House";"1972";"1972";;;"Ingenieur: Heinz Isler; Entwurf: Walter Jonas; Architekt: Werner Plüss; erwähnt: (Dr.) Max Kappeler";"s.l.";"Acquisition 1972";"1972";"1972";;;
"2023-03-24T15:12:04+01:00";"111599";"16955";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Exbier GmbH : Fabrikationshallen Heilbronn (Stadtkreis in Baden-Württemberg)";"Exbier GmbH : Production Halls Heilbronn (city district of Baden-Württemberg)";;;;;"Exbier GmbH : Fabrikationshallen";"Exbier GmbH : Production Halls";"1964";"1964";;;"Ingenieur: Heinz Isler; Architekten: Rödl & Kieferle (Böblingen)";"Objektort: Heilbronn";"Vorprojekt 1964";"1964";"1964";;;
"2023-03-24T15:12:04+01:00";"111600";"16956";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Kirche auf den Antillen Greater Antilles (Inselgruppen)";"Church in the West Indies Greater Antilles (island groups)";;;;;"Kirche auf den Antillen";"Church in the West Indies";"2000";"2000";;;"Ingenieur: Heinz Isler; Architekt: S.O.L.O.";"Objektort: Antillen";"Vorprojekt 2000";" 2000";"2000";;;
"2023-03-24T15:12:04+01:00";"111601";"16957";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Litco SA Châtel-Saint-Denis (Politische Gemeinde)";"Litco SA Châtel-Saint-Denis (Municipality)";;;;;"Litco SA";"Litco SA";"1968";"1968";;;"Ingenieur: Heinz Isler";"Objektort: Châtel-Saint-Denis/FR";"Anfrage 1968";" 1968";"1968";;;
"2023-03-24T15:12:04+01:00";"111602";"16958";"92";"gta Aarchives";"gta Archives";"19
91";;;"Select Isler Project
Œuvres";"Select Isler Project
Œuvres";"Seehaus Knoch Sallach (Ortsteile)";"Lakeside House Knoch Sallach (Ortsteile)";;;;;"Seehaus Knoch";"Lakeside House Knoch";"1968";"1968";;;"Ingenieur: Heinz Isler; Architekt: Max M. Gosch (Velden); Bauherr: Rolf Knoch (Klagenfurt); Fotograf: Kopr Foto Klagenfurt";"Objektort: Sallach, Pörtschach am Wörthersee";"ausgeführt 1968";"1968";"1968";;;
"2023-03-24T15:12:04+01:00";"111603";"16959";"92";"gta Aarchives";"gta Archives";"19
91";;;"Select Isler Project
Œuvres";"Select Isler Project
Œuvres";"Büro- und Betriebsgebäude Buchversand Dr. Mende Eggenstein-Leopoldshafen, Kruppstrasse (Straße)";"Eggenstein-Leopoldshafen, Kruppstrasse (roads)";;;;;"Büro- und Betriebsgebäude Buchversand Dr. Mende";"";"1971";"1971";;;"Ingenieur: Heinz Isler; Architekt: Rudolf H. Maier (Pforzheim); Bauherr(en): Buchversand (Dr.) Mende (Karlsruhe)";"Objektort: Kruppenstrasse 6, Eggenstein-Leopoldshafen";"Vorprojekt: 1971; ausgeführt 1971; Erweiterung 1994 geplant; Dachbegrünung 1996 geplant";;;;;
"2023-03-24T15:12:04+01:00";"111604";"16960";"92";"gta Aarchives";"gta Archives";"55
91";;;"To be deleted - do not link!
Œuvres";"To be deleted - do not link!
Œuvres";"Weberei Ganahl & Co. : Sanierung Frastanz, Schmittengasse (Straße) (Strasse)";"Frastanz, Schmittengasse (roads) (Street)";;;;;"Weberei Ganahl & Co. : Sanierung";"";"";"";;;"Ingenieur: Heinz Isler; Bauherr(en): Fenster + Fassadenbau Seraphin Pümpel + Söhne (Feldkirch)";"Objektort: Schmittengasse, Frastanz/Österreich";"Kontakt 1989, Projekt Nachisolierung 1996";;;;;
"2023-03-24T15:12:04+01:00";"111605";"16961";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Rometal SA Romont (BE) (Politische Gemeinde)";"Romont (BE) (Municipality)";;;;;"Rometal SA";"";"";"";;;"Ingenieur: Heinz Isler; Architekt: (Dr.) Giuseppe Roncati (Chiasso)";"Objektort: Romont/FR";"Vorprojekt 1963";;;;;
"2023-03-24T15:12:04+01:00";"111606";"16962";"92";"gta Aarchives";"gta Archives";"53
91";;;"Hierarchy ok!
Œuvres";"Hierarchy ok!
Œuvres";"Losinger & Co. AG Bern (Kanton)";"Losinger & Co. AG Bern (Canton)";;;;;"Losinger & Co. AG";"Losinger & Co. AG";"1956";"1956";;;"Ingenieure: Heinz Isler, Weder & Prim";"Objektort: Bern";"Vorprojekt 1956";" 1991 - 1992";"1956";;;
"2023-03-24T15:12:04+01:00";"111607";"16963";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Sportzentrum am Bielersee u.a. Ipsach (Politische Gemeinde)";"Sports Center at Lake Biel and Others Ipsach (Municipality)";;;;;"Sportzentrum am Bielersee u.a.";"Sports Center at Lake Biel and Others";"1964";"1966";;;"Ingenieur: Heinz Isler; Architekten: Jürg Staempfli, Fred Knapp; Beteiligt: (Dr.) Oscar Hofer";"Objektort: Ipsach/BE";"Vorprojekt zwischen 1964 und 1966";"1964 - 1966";"1964 to 1966";;;
"2023-03-24T15:12:04+01:00";"111608";"16964";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Schweizerische Bundesbahnen SBB : Dachelemente für Wartehallen : Flughafen Kloten Kloten (Politische Gemeinde)";"Swiss Federal Railways SBB : Roof Elements for Waiting Halls : Kloten Airport Kloten (Municipality)";;;;;"Schweizerische Bundesbahnen SBB : Dachelemente für Wartehallen : Flughafen Kloten";"Swiss Federal Railways SBB : Roof Elements for Waiting Halls : Kloten Airport";"";"";;;"Ingenieur: Heinz Isler; Architekt: Gebrüder Pfister";"Objektort: Kloten/ZH";"";;;;;
"2023-03-24T15:12:04+01:00";"111609";"16965";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Schwimmbad Gianella Ronco sopra Ascona (Politische Gemeinde)";"Swimming Pool Gianella Ronco sopra Ascona (Municipality)";;;;;"Schwimmbad Gianella";"Swimming Pool Gianella";"1963";"1963";;;"Ingenieur: Heinz Isler; Bauherr: (Dr.) C. Gianella";"Objektort: Ronco/TI";"ausgeführt 1963";;;;;
"2023-03-24T15:12:04+01:00";"111611";"16967";"92";"gta Aarchives";"gta Archives";"55
91";;;"To be deleted - do not link!
Œuvres";"To be deleted - do not link!
Œuvres";"Rick (Konfektionshaus, Bodenbeläge) Sargans (Politische Gemeinde)";"Sargans (Municipality)";;;;;"Rick (Konfektionshaus, Bodenbeläge)";"";"";"";;;"Ingenieur: Heinz Isler";"Objektort: Sargans/SG";"Vorprojekt 1968";;;;;
"2023-03-24T15:12:04+01:00";"111612";"16968";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Baugeschäft Neumatt Lorenzi Fritz : Einstellhalle : Neubau Derendingen (Politische Gemeinde)";"Derendingen (Municipality)";;;;;"Baugeschäft Neumatt Lorenzi Fritz : Einstellhalle : Neubau";"";"";"";;;"Ingenieur: Heinz Isler; Bauherr: Fritz Lorenzi";"Objektort: Derendingen/SO";"Vorprojekt 1962";;;;;
"2023-03-24T15:12:04+01:00";"111613";"16969";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Ins im Seeland Ins (Politische Gemeinde)";"Ins in Zealand Ins (Municipality)";;;;;"Ins im Seeland";"Ins in Zealand";"1964";"1966";;;"Ingenieur: Heinz Isler";"Objektort: Ins/BE";"Notiz zwischen 1964 und 1966";" 1964 - 1966";"1964 to 1966";;;
"2023-03-24T15:12:04+01:00";"111614";"16970";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Firma Mautner Markhof : Lager- und Garagenneubau Wien (Bundeshauptstadt)";"Mautner Markhof Company : Storage and Garages Wien (federal capital)";;;;;"Firma Mautner Markhof : Lager- und Garagenneubau";"Mautner Markhof Company : Storage and Garages";"1971";"1971";;;"Ingenieur: Heinz Isler; Architekt: Franz Hoffmann/Isler";"Objektort: Wien";"Vorprojekt 1971";"1971";"1971";;;
"2023-03-24T15:12:04+01:00";"111615";"16971";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Verzinkerei AG Däniken Däniken (Politische Gemeinde)";"Galvanizing AG Däniken Däniken (Municipality)";;;;;"Verzinkerei AG Däniken";"Galvanizing AG Däniken";"1981";"1981";;;"Ingenieur: Heinz Isler; Ausführung: H. Heer & Co. AG";"Objektort: Däniken/SO";"Vorprojekt 1981";" 1981";"1981";;;
"2023-03-24T15:12:04+01:00";"111616";"16972";"92";"gta Aarchives";"gta Archives";"53
91";;;"Hierarchy ok!
Œuvres";"Hierarchy ok!
Œuvres";"Carl Spaeter AG Koblenz (Politische Gemeinde)";"Koblenz (Municipality)";;;;;"Carl Spaeter AG";"";"";"";;;"Ingenieur: Heinz Isler; Architekt: Hans Rudolf Stoll";"Objektort: Koblenz";"Vorprojekt 1962";;;;;
"2023-03-24T15:12:04+01:00";"111617";"16973";"92";"gta Aarchives";"gta Archives";"55
91";;;"To be deleted - do not link!
Œuvres";"To be deleted - do not link!
Œuvres";"Carrosseriewerk Ramseier & Jenzer AG : Gesamtplanung Biel, Solothurnstrasse (Teile von bewohnten Orten) Biel, David-Moning-Strasse (Straße)";"Biel, Solothurnstrasse (parts of inhabited places) Biel, David-Moning-Strasse (roads)";;;;;"Carrosseriewerk Ramseier & Jenzer AG : Gesamtplanung";"";"";"";;;"Ingenieur: Heinz Isler; Architekten: Ernst Pfister (Bürogebäude und Trafostation), Walter Schwaar (Bern); Bauherr(en): Carrosseriewerk Ramseier & Jenzer AG";"Objektort: Solothurnstrasse 154/David Moning-Strasse, Biel";"Projekt 1958";;;;;
"2023-03-24T15:12:04+01:00";"111618";"16974";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Industriehallen Interlaken (Politische Gemeinde)";"Industrial Hall Interlaken (Municipality)";;;;;"Industriehallen";"Industrial Hall";"2001";"2002";;;"Ingenieur: Heinz Isler; Architekt: Armin Linder (Brienz)";"Objektort: Interlaken/BE";"Vorprojekt 2001/2002";" 2001 - 2002";"2001 to 2002";;;
"2023-03-24T15:12:04+01:00";"111620";"16976";"92";"gta Aarchives";"gta Archives";"53
91";;;"Hierarchy ok!
Œuvres";"Hierarchy ok!
Œuvres";"VW-Garage Gebrüder Dürst Davos, Talstrasse (Strasse)";"VW Garage Brothers Dürst Davos, Talstrasse (Street)";;;;;"VW-Garage Gebrüder Dürst";"VW Garage Brothers Dürst";"1961";"1963";;;"Ingenieur: Heinz Isler; Architekt: ARGE für Industriebau (Bern), Walter Müller; Bauherr(en): Gebrüder Dürst AG";"Objektort: (vermutlich ehemals) Talstrasse 28 E, Davos";"ausgeführt 1961; Messungen an Schalen 1963";" 1961 - 1963";"1961 to 1963";;;
"2023-03-24T15:12:04+01:00";"111621";"16977";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"(DZ Bank ?) Berlin, Pariser Platz (Platz)";"Berlin, Pariser Platz (square)";;;;;"(DZ Bank ?)";"";"";"";;;"Ingenieur: Heinz Isler; Architekt: (Gehri, vermutlich) Frank O. Gehry";"Objektort: Pariser Platz, Berlin";"Vorprojekt 1996, Offerte Bösiger 1997";;;;;
"2023-03-24T15:12:04+01:00";"111622";"16978";"92";"gta Aarchives";"gta Archives";"55
91";;;"To be deleted - do not link!
Œuvres";"To be deleted - do not link!
Œuvres";"Rexer Pforzheim (Stadtkreis in Baden-Württemberg)";"Pforzheim (city district of Baden-Württemberg)";;;;;"Rexer";"";"";"";;;"Ingenieur: Heinz Isler";"Objektort: Pforzheim (oder Bauschlott, Neulingen ?)";"Projekt 1970";;;;;
"2023-03-24T15:12:04+01:00";"111623";"16979";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Pfannenfabrik Epos : Neuüberdachung Olten (Bezirk)";"Pan Factory Epos : New Roofing Olten (District)";;;;;"Pfannenfabrik Epos : Neuüberdachung";"Pan Factory Epos : New Roofing";"1969";"1969";;;"Ingenieur: Heinz Isler; Architekt: Heer & Cie. (Heer + Co. AG)";"Objektort: Olten";"Vorprojekt 1969";"1969";"1969";;;
"2023-03-24T15:12:04+01:00";"111624";"16980";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Fabrikationshallen Heinz Messmer Vaihingen (Stadtbezirk in Deutschland)";"Manufacturing Halls Heinz Messmer Vaihingen (Stadtbezirk)";;;;;"Fabrikationshallen Heinz Messmer";"Manufacturing Halls Heinz Messmer";"1964";"1966";;;"Ingenieur: Heinz Isler; Architekt: Albrecht Schirm";"Objektort: Vaihingen";"Vorprojekt 1964";" 1964 - 1966";"1964 to 1966";;;
"2023-03-24T15:12:04+01:00";"111625";"16981";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"HIB : Thyon 2000 : Konferenzsaal und Tennishalle Thyon";"HIB : Thyon 2000 : Conference Room and Tennis Hall Thyon";;;;;"HIB : Thyon 2000 : Konferenzsaal und Tennishalle";"HIB : Thyon 2000 : Conference Room and Tennis Hall";"1977";"1977";;;"Ingenieur: Heinz Isler";"Objektort: Thyon, Vex/VS";"Vorprojekt 1977";" 1977";"1977";;;
"2023-03-24T15:12:04+01:00";"111626";"16982";"92";"gta Aarchives";"gta Archives";"30
91";;;"verify
Œuvres";"verify
Œuvres";"Diverse Anfrage mit wenig Material";"Diverse Anfrage mit wenig Material";;;;;"Diverse Anfrage mit wenig Material";"";"";"";;;"Ingenieur: Heinz Isler";"";"Undatiert";;;;;
"2023-03-24T15:12:04+01:00";"111627";"16983";"92";"gta Aarchives";"gta Archives";"91";;;"Œuvres";"Œuvres";"Nord-Süd-Garage Felber & Engler : Ausstellungshalle Altdorf (UR) (Politische Gemeinde)";"North-South Garage Felber & Engler : Exhibition Hall Altdorf (UR) (Municipality)";;;;;"Nord-Süd-Garage Felber & Engler : Ausstellungshalle";"North-South Garage Felber & Engler : Exhibition Hall";"1964";"1966";;;"Ingenieur: Heinz Isler";"Objektort: Altdorf/UR";"Anfrage 1964";" 1964 - 1966";"1964 to 1966";;;
